campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00003723,2025-02,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Social,Yes,5,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,32,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00003724,2023-04,Full-Size Pickup,Current Model Year,ICE,Programmatic Video / CTV,Yes,4,Canada,New Launch / Fresh Reveal,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,No,40,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003725,2025-01,Midsize Sedan,Prior Year Closeout,BEV,Paid Search,No,3,US – Rural / Exurban,Mid-Cycle Refresh,Heavy Stair-Step Risk,High – New Entrants,Tight – Under 30,Flat,Generic,Yes,31,No,Growing,Typical,Mixed / Undecided,Tightening,No,0
AMK-00003726,2022-05,EV Crossover,Current Model Year,BEV,Paid Social,Yes,9,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Generic,No,41,Yes,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,1
AMK-00003727,2025-12,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,8,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,High – Over 60,Favourable vs Prior Quarter,Segmented,No,32,No,Early Market,Typical,Mixed / Undecided,Tightening,No,0
AMK-00003728,2025-12,EV Crossover,Prior Year Closeout,BEV,OEM Website / App,Yes,10,US – Suburban / Secondary,Steady State,Light Incentives,Low,High – Over 60,Adverse – Rising APR,Segmented,No,40,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00003729,2024-08,Performance / Specialty,Current Model Year,ICE,Paid Social,No,6,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,49,Yes,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00003730,2025-11,Midsize / 3-Row SUV,Current Model Year,PHEV,OEM Website / App,No,8,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Flat,Generic,Yes,36,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00003731,2025-08,EV Crossover,Current Model Year,BEV,Paid Social,No,4,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Flat,Generic,No,44,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003732,2024-01,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,No,4,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,High – Over 60,Flat,Segmented,No,28,No,Growing,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00003733,2022-12,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,3,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,High – Over 60,Favourable vs Prior Quarter,Segmented,No,45,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003734,2024-09,Midsize / 3-Row SUV,Current Model Year,PHEV,Dealer Co-op – Local Digital,No,3,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Generic,Yes,40,Yes,Growing,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,1
AMK-00003735,2024-04,EV Crossover,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,Yes,10,Canada,Mid-Cycle Refresh,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Segmented,No,41,No,Early Market,Low Exposure,Mixed / Undecided,Benign,Yes,1
AMK-00003736,2023-09,Performance / Specialty,Prior Year Closeout,PHEV,Dealer Co-op – Local Digital,Yes,6,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,43,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003737,2025-03,Compact SUV / Crossover,Current Model Year,BEV,OEM Website / App,Yes,9,US – Rural / Exurban,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Flat,Segmented,No,39,No,Early Market,Typical,CPO / Used Consideration,Tightening,Yes,0
AMK-00003738,2022-07,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,Yes,4,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,No,38,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00003739,2022-09,Compact SUV / Crossover,Current Model Year,BEV,Programmatic Video / CTV,Yes,5,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Flat,Segmented,No,37,No,Early Market,Typical,CPO / Used Consideration,Constrained,Yes,0
AMK-00003740,2024-11,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Paid Search,Yes,10,US – Major Metro,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,37,No,Growing,Low Exposure,New Vehicle Focus,Tightening,No,1
AMK-00003741,2024-02,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,Yes,9,US – Rural / Exurban,Mid-Cycle Refresh,Heavy Stair-Step Risk,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,36,No,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00003742,2023-10,Midsize / 3-Row SUV,Current Model Year,Hybrid,Paid Social,No,1,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,39,Yes,Growing,Typical,Mixed / Undecided,Constrained,No,1
AMK-00003743,2025-07,Performance / Specialty,Current Model Year,ICE,Programmatic Video / CTV,No,2,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Generic,Yes,41,No,Growing,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00003744,2024-03,Midsize Sedan,Next MY Pre-Order,PHEV,Paid Search,No,8,Canada,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Generic,No,40,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00003745,2025-10,Midsize / 3-Row SUV,Prior Year Closeout,ICE,OEM Website / App,No,9,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Segmented,No,50,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003746,2023-10,Compact SUV / Crossover,Prior Year Closeout,ICE,Paid Social,Yes,6,US – Major Metro,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,40,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,0
AMK-00003747,2023-10,Full-Size Pickup,Prior Year Closeout,Hybrid,Paid Search,Yes,3,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,31,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00003748,2024-08,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Social,No,8,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,37,No,Growing,High Fatigue Risk,CPO / Used Consideration,Constrained,No,1
AMK-00003749,2025-07,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,7,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,No,48,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003750,2025-04,Performance / Specialty,Prior Year Closeout,ICE,OEM Website / App,Yes,9,US – Major Metro,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,Balanced,Favourable vs Prior Quarter,Segmented,Yes,36,No,Growing,Typical,CPO / Used Consideration,Tightening,Yes,1
AMK-00003751,2022-12,Midsize Sedan,Current Model Year,BEV,Email – CRM,Yes,3,US – Major Metro,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,44,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00003752,2023-01,Compact SUV / Crossover,Prior Year Closeout,Hybrid,OEM Website / App,Yes,10,US – Major Metro,Runout / End of Generation,Heavy Stair-Step Risk,Moderate,Balanced,Flat,Generic,No,45,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,No,0
AMK-00003753,2022-01,Midsize / 3-Row SUV,Next MY Pre-Order,BEV,Dealer Co-op – Local Digital,No,8,US – Major Metro,New Launch / Fresh Reveal,Heavy Stair-Step Risk,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Generic,Yes,39,No,Growing,Typical,New Vehicle Focus,Constrained,No,1
AMK-00003754,2025-05,Performance / Specialty,Current Model Year,BEV,Paid Social,No,4,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Generic,Yes,38,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,Yes,1
AMK-00003755,2025-11,Full-Size Pickup,Current Model Year,Hybrid,Programmatic Video / CTV,No,10,Canada,Steady State,Moderate APR / Cash,High – New Entrants,High – Over 60,Flat,Segmented,Yes,56,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00003756,2024-07,Full-Size Pickup,Current Model Year,ICE,Email – CRM,Yes,7,US – Major Metro,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,35,No,Growing,Low Exposure,CPO / Used Consideration,Constrained,No,0
AMK-00003757,2024-11,Compact SUV / Crossover,Current Model Year,PHEV,Paid Social,No,5,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,Generic,No,49,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00003758,2024-07,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,9,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,39,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003759,2024-03,Full-Size Pickup,Current Model Year,ICE,Email – CRM,No,6,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,Segmented,No,40,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00003760,2023-08,Midsize Sedan,Current Model Year,ICE,Programmatic Video / CTV,No,8,US – Major Metro,Steady State,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Generic,No,39,Yes,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00003761,2025-10,Compact SUV / Crossover,Current Model Year,ICE,Email – CRM,No,3,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,Segmented,No,37,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,Yes,1
AMK-00003762,2023-07,Compact SUV / Crossover,Next MY Pre-Order,ICE,Paid Social,No,9,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,48,Yes,Growing,Typical,New Vehicle Focus,Benign,No,1
AMK-00003763,2022-12,Full-Size Pickup,Current Model Year,Hybrid,Paid Social,No,10,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,No,37,Yes,Early Market,Typical,Mixed / Undecided,Benign,No,1
AMK-00003764,2024-11,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,9,Canada,Steady State,Moderate APR / Cash,Low,Balanced,Flat,Segmented,No,34,No,Growing,Low Exposure,CPO / Used Consideration,Constrained,Yes,1
AMK-00003765,2023-09,EV Crossover,Current Model Year,BEV,Email – CRM,No,3,US – Rural / Exurban,New Launch / Fresh Reveal,Light Incentives,Low,High – Over 60,Flat,Generic,Yes,41,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003766,2023-11,Full-Size Pickup,Prior Year Closeout,ICE,Paid Search,Yes,9,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Favourable vs Prior Quarter,Segmented,No,30,Yes,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,Yes,0
AMK-00003767,2023-05,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,No,8,US – Rural / Exurban,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,27,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00003768,2024-01,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Paid Search,Yes,9,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Moderate,Tight – Under 30,Adverse – Rising APR,Segmented,No,39,No,Growing,Typical,New Vehicle Focus,Constrained,No,1
AMK-00003769,2023-02,Performance / Specialty,Current Model Year,BEV,Paid Search,No,1,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,High – Over 60,Adverse – Rising APR,Segmented,Yes,41,No,Growing,High Fatigue Risk,Mixed / Undecided,Tightening,Yes,0
AMK-00003770,2025-06,EV Crossover,Current Model Year,PHEV,Programmatic Video / CTV,No,8,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Adverse – Rising APR,Generic,Yes,47,No,Growing,Typical,New Vehicle Focus,Tightening,Yes,1
AMK-00003771,2024-09,Midsize Sedan,Current Model Year,Hybrid,Email – CRM,No,5,US – Major Metro,Steady State,Moderate APR / Cash,Moderate,Balanced,Flat,Segmented,No,34,No,Early Market,Typical,Mixed / Undecided,Tightening,Yes,0
AMK-00003772,2024-02,EV Crossover,Current Model Year,ICE,Paid Social,No,9,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,36,No,Growing,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00003773,2023-03,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,5,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,36,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,No,0
AMK-00003774,2023-08,Performance / Specialty,Current Model Year,BEV,Email – CRM,Yes,7,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,37,No,Early Market,Low Exposure,CPO / Used Consideration,Benign,Yes,0
AMK-00003775,2023-08,Midsize / 3-Row SUV,Prior Year Closeout,PHEV,OEM Website / App,Yes,1,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,41,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00003776,2024-10,Midsize / 3-Row SUV,Current Model Year,BEV,Email – CRM,Yes,9,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,35,No,Growing,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003777,2022-09,Full-Size Pickup,Prior Year Closeout,BEV,OEM Website / App,No,6,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,45,No,Growing,Typical,Mixed / Undecided,Benign,Yes,0
AMK-00003778,2024-09,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Programmatic Video / CTV,Yes,6,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,34,No,Early Market,Typical,New Vehicle Focus,Benign,No,1
AMK-00003779,2025-01,Full-Size Pickup,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,No,3,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,31,No,Early Market,Typical,CPO / Used Consideration,Tightening,No,1
AMK-00003780,2025-08,EV Crossover,Next MY Pre-Order,ICE,Paid Social,Yes,2,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,No,32,No,Mature EV Penetration,Typical,New Vehicle Focus,Constrained,No,0
AMK-00003781,2024-11,Midsize / 3-Row SUV,Current Model Year,BEV,Email – CRM,No,6,Canada,Steady State,Moderate APR / Cash,Moderate,Balanced,Favourable vs Prior Quarter,Segmented,No,41,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,No,0
AMK-00003782,2025-06,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,9,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,43,No,Early Market,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00003783,2023-12,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,2,US – Rural / Exurban,New Launch / Fresh Reveal,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Generic,No,47,No,Early Market,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003784,2022-02,Compact SUV / Crossover,Current Model Year,BEV,Auto Show / Experiential,No,9,US – Rural / Exurban,Mid-Cycle Refresh,Moderate APR / Cash,Low,Tight – Under 30,Flat,Segmented,No,43,Yes,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00003785,2023-05,Midsize Sedan,Current Model Year,ICE,OEM Website / App,No,3,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Low,Balanced,Flat,Generic,No,45,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Tightening,Yes,0
AMK-00003786,2025-09,EV Crossover,Next MY Pre-Order,ICE,Paid Search,Yes,1,US – Suburban / Secondary,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Adverse – Rising APR,Segmented,Yes,38,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Benign,No,0
AMK-00003787,2024-02,Performance / Specialty,Current Model Year,ICE,Programmatic Video / CTV,No,2,Other Market,Steady State,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Generic,No,36,No,Mature EV Penetration,Typical,Mixed / Undecided,Tightening,Yes,0
AMK-00003788,2023-12,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,No,8,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Flat,Generic,No,36,No,Growing,Typical,New Vehicle Focus,Benign,No,1
AMK-00003789,2024-08,Midsize / 3-Row SUV,Next MY Pre-Order,BEV,Email – CRM,Yes,2,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Balanced,Flat,Segmented,No,40,No,Early Market,Low Exposure,Mixed / Undecided,Benign,No,0
AMK-00003790,2025-03,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,6,US – Rural / Exurban,Steady State,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,33,No,Growing,Typical,CPO / Used Consideration,Constrained,Yes,0
AMK-00003791,2022-09,Midsize / 3-Row SUV,Next MY Pre-Order,ICE,Paid Social,No,1,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,No,43,No,Mature EV Penetration,High Fatigue Risk,Mixed / Undecided,Benign,Yes,0
AMK-00003792,2024-12,Compact SUV / Crossover,Prior Year Closeout,BEV,Dealer Co-op – Local Digital,Yes,7,US – Rural / Exurban,Steady State,Moderate APR / Cash,Low,Balanced,Flat,Segmented,Yes,35,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,1
AMK-00003793,2024-04,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,No,10,Other Market,Steady State,Light Incentives,Moderate,Balanced,Flat,1:1 Next-Best-Offer,No,31,Yes,Early Market,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00003794,2022-06,Midsize Sedan,Prior Year Closeout,ICE,Paid Social,No,10,US – Suburban / Secondary,Runout / End of Generation,Light Incentives,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,No,43,No,Early Market,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00003795,2024-07,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Social,Yes,4,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,45,No,Mature EV Penetration,Typical,CPO / Used Consideration,Constrained,Yes,0
